gene	name	other_names
g6pd	*148	S. Antioco
g6pd	*149	Hermoupolis
g6pd	*150	Flores
g6pd	*151	Sinnai
g6pd	*152	Lages
g6pd	*153	Gaohe
g6pd	*154	Rignano
g6pd	*155	Orissa
g6pd	*156	Aures
g6pd	*157	Kambos
g6pd	*158	Palestrina
g6pd	*159	Musashino
g6pd	*160	Murcia Oristano
g6pd	*161	Guangzhou
g6pd	*162	Hammersmith
g6pd	*163	Salerno Pyrgos
g6pd	*164	"Tokyo, Fukushima"
g6pd	*165	Malaga
g6pd	*166	Mexico City
g6pd	*167	Nanning
g6pd	*168	"Seattle, Lodi, Modena, Ferrara II, Athens-like"
g6pd	*169	Bajo Maumere
g6pd	*170	Montalbano
g6pd	*171	Chinese-5
g6pd	*172	G6PDNice
g6pd	*173	"Kamiube, Keelung"
g6pd	*174	Neapolis
g6pd	*175	Split
g6pd	*176	No name
g6pd	*177	Gidra
g6pd	*178	Cairo
g6pd	*179	Gond
g6pd	*180	Dagua
g6pd	*181	Papua
g6pd	*182	Yunan
g6pd	*183	Laibin
g6pd	*184	Insuli
g6pd	*185	Mira d'Aire
g6pd	*186	Farroupilha
dpyd	*1	*1
dpyd	*2	c.1905+1G>A (*2)
dpyd	*3	c.1898delC (*3)
dpyd	*7	c.295_298delTCAT (*7)
dpyd	*8	c.703C>T (*8)
dpyd	*10	c.2983G>T (*10)
dpyd	*12	c.1156G>T (*12)
dpyd	*13	c.1679T>G (*13)
dpyd	*S2	c.2846A>T
dpyd	*S5	c.1129-5923C>G
dpyd	*S6	c.557A>G
