gene	name	other_names	phenotype	score
g6pd	*142	Ludhiana	II/Deficient	0.1
g6pd	*143	Partenope	II/Deficient	0.1
g6pd	*144	Ierapetra	II/Deficient	0.1
g6pd	*145	Anadia	II/Deficient	0.1
g6pd	*146	Abeno	II/Deficient	0.1
g6pd	*147	Surabaya	II/Deficient	0.1
g6pd	*148	S. Antioco	II/Deficient	0.1
g6pd	*149	Hermoupolis	II/Deficient	0.1
g6pd	*150	Flores	II/Deficient	0.1
g6pd	*151	Sinnai	III/Deficient	0.5
g6pd	*152	Lages	III/Deficient	0.5
g6pd	*153	Gaohe	III/Deficient	0.5
g6pd	*154	Rignano	III/Deficient	0.5
g6pd	*155	Orissa	III/Deficient	0.5
g6pd	*156	Aures	III/Deficient	0.5
g6pd	*157	Kambos	III/Deficient	0.5
g6pd	*158	Palestrina	III/Deficient	0.5
g6pd	*159	Musashino	III/Deficient	0.5
g6pd	*160	Murcia Oristano	III/Deficient	0.5
g6pd	*161	Guangzhou	III/Deficient	0.5
g6pd	*162	Hammersmith	III/Deficient	0.5
g6pd	*163	Salerno Pyrgos	III/Deficient	0.5
g6pd	*164	Tokyo,Fukushima	I-II/Deficient_with_CNSHA-Deficient	0
g6pd	*165	Malaga	III/Deficient	0.5
g6pd	*166	Mexico City	III/Deficient	0.5
g6pd	*167	Nanning	III/Deficient	0.5
g6pd	*168	Seattle,Lodi,Modena,Ferrara-II,Athens-like	III/Deficient	0.5
g6pd	*169	Bajo Maumere	III/Deficient	0.5
g6pd	*170	Montalbano	III/Deficient	0.5
g6pd	*171	Chinese-5	III/Deficient	0.5
g6pd	*172	G6PDNice	III/Deficient	0.5
g6pd	*173	Kamiube,Keelung	III/Deficient	0.5
g6pd	*174	Neapolis	III/Deficient	0.5
g6pd	*175	Split	III/Deficient	0.5
g6pd	*176	No name	unknown_function	unknown
g6pd	*177	Gidra	unknown_function	unknown
g6pd	*178	Cairo	unknown_function	unknown
g6pd	*179	Gond	unknown_function	unknown
g6pd	*180	Dagua	unknown_function	unknown
g6pd	*181	Papua	unknown_function	unknown
g6pd	*182	Yunan	unknown_function	unknown
g6pd	*183	Laibin	unknown_function	unknown
g6pd	*184	Insuli	IV/Normal	1
g6pd	*185	Mira d'Aire	IV/Normal	1
g6pd	*186	Farroupilha	II-III/Deficient	0.1
gstm1	*1	.	normal_function	1
gstm1	*2	*0	no_function	0
gstm1	*3	*B	normal_function	1
gstp1	*1	*A	normal_function	1
gstp1	*DEL	.	no_function	0
gstp1	*2	*B	unknown_function	unknown
gstp1	*3	*C	unknown_function	unknown
gstp1	*4	*D	unknown_function	unknown
gstt1	*1	.	normal_function	1
gstt1	*2	*0	no_function	0
gstt1	*3	*B	no_function	0
ifnl3	*1	.	normal_function	1
ifnl3	*DEL	.	no_function	0
ifnl3	*S1	rs12979860	IFNL3_Unfavorable_Response	0
ifnl3	*S2	rs8099917	IFNL3_Unfavorable_Response	0
ifnl3	*S3	rs12980275	IFNL3_Unfavorable_Response	0
nat1	*1	*4	normal_function	1
nat1	*DEL	.	no_function	0
nat1	*3	.	unknown_function	unknown
nat1	*5	.	unknown_function	0
nat1	*10	.	unknown_function	unknown
nat1	*11	.	unknown_function	unknown
nat1	*14	.	decreased_function	0.5
nat1	*15	.	no_function	0
nat1	*16	.	unknown_function	unknown
nat1	*17	.	decreased_function	0.5
nat1	*18	.	unknown_function	unknown
nat1	*19	.	no_function	0
nat1	*20	.	normal_function	1
nat1	*21	.	normal_function	1
nat1	*22	.	decreased_function	0.5
nat1	*23	.	normal_function	1
nat1	*24	.	normal_function	1
nat1	*25	.	normal_function	1
nat1	*26	.	unknown_function	unknown
nat1	*27	.	normal_function	1
nat1	*28	.	unknown_function	unknown
nat1	*29	.	unknown_function	unknown
nat1	*30	.	unknown_function	unknown
nat2	*1	*4	normal_function	1
nat2	*DEL	.	no_function	0
nat2	*5	.	decreased_function	0.5
nat2	*6	.	decreased_function	0.5
nat2	*7	.	decreased_function	0.5
nat2	*10	.	decreased_function	0.5
nat2	*11	.	normal_function	1
nat2	*12	.	normal_function	1
nat2	*13	.	normal_function	1
nat2	*14	.	decreased_function	0.5
nat2	*17	.	decreased_function	0.5
nat2	*18	.	normal_function	1
nat2	*19	.	decreased_function	0.5
nat2	*20	.	unknown_function	unknown
nat2	*21	.	unknown_function	unknown
nat2	*22	.	unknown_function	unknown
nat2	*23	.	unknown_function	unknown
nat2	*24	.	unknown_function	unknown
nat2	*25	.	unknown_function	unknown
nudt15	*1	.	normal_function	1
nudt15	*DEL	.	no_function	0
nudt15	*2	.	severely_decreased_function	0.25
nudt15	*3	.	severely_decreased_function	0.25
nudt15	*4	.	severely_decreased_function	0.25
nudt15	*5	.	severely_decreased_function	0.25
nudt15	*6	.	severely_decreased_function	0.25
nudt15	*7	.	severely_decreased_function	0.25
nudt15	*8	.	severely_decreased_function	0.25
nudt15	*9	.	severely_decreased_function	0.25
nudt15	*10	.	no_function	0
nudt15	*13	.	no_function	0
nudt15	*14	.	no_function	0
nudt15	*17	.	no_function	0
nudt15	*18	.	no_function	0
nudt15	*19	.	no_function	0
slco1b1	*1	.	normal_function	1
slco1b1	*DEL	.	no_function	0
slco1b1	*2	.	decreased_function	0.5
slco1b1	*3	.	decreased_function	0.5
slco1b1	*4	.	unknown_function	unknown
slco1b1	*5	.	decreased_function	0.5
slco1b1	*6	.	decreased_function	0.5
slco1b1	*9	.	decreased_function	0.5
slco1b1	*10	.	decreased_function	0.5
slco1b1	*14	.	increased_function	1.5
slco1b1	*15	.	decreased_function	0.5
slco1b1	*17	.	decreased_function	0.5
slco1b1	*23	.	decreased_function	0.5
slco1b1	*31	.	decreased_function	0.5
slco1b1	*35	.	increased_function	1.5
tpmt	*1	.	normal_function	1
tpmt	*DEL	.	no_function	0
tpmt	*2	.	no_function	0
tpmt	*3A	.	no_function	0
tpmt	*3B	.	no_function	0
tpmt	*3C	.	no_function	0
tpmt	*4	.	no_function	0
tpmt	*11	.	no_function	0
tpmt	*14	.	no_function	0
tpmt	*15	.	no_function	0
tpmt	*23	.	no_function	0
tpmt	*29	.	no_function	0
tpmt	*41	.	no_function	0
ugt1a1	*1	.	normal_function	1
ugt1a1	*DEL	.	no_function	0
ugt1a1	*6	.	decreased_function	0.5
ugt1a1	*27	.	decreased_function	0.5
ugt1a1	*28	.	decreased_function	0.5
ugt1a1	*36	.	increased_function	1.5
ugt1a1	*37	.	decreased_function	0.5
ugt1a1	*80		unknown_function	unknown
